account_id,account_number,customer_id,branch_id,account_type,currency,balance,status,opened_at
35,3856132881,2484,97,Business,VND,393629.15,Active,2024-11-15 09:18:49
36,8738537544,6774,53,Checking,EUR,397324.21,Inactive,2022-10-18 23:42:22
37,5053333550,7252,19,Saving,EUR,403142.81,Active,2021-05-13 23:18:04
38,5659086958,5158,52,Saving,VND,30828.02,Active,2018-04-01 08:28:15
39,3755074460,9414,8,Business,EUR,399555.48,Closed,2020-04-15 17:37:45
40,9472515108,6870,52,Business,EUR,276849.85,Inactive,2018-12-01 21:57:32
41,2478144620,4584,68,Business,USD,350177.5,Inactive,2020-10-18 22:14:41
42,3765440737,8920,80,Business,EUR,221127.69,Inactive,2021-01-11 20:47:09
43,2295067571,606,69,Checking,VND,362576.83,Closed,2022-11-24 20:49:15
44,4779036992,8528,70,Checking,USD,46500.5,Closed,2017-06-15 11:40:48
45,3730248478,384,4,Business,EUR,129419.22,Inactive,2025-06-22 16:46:36
46,8415300767,8279,15,Business,USD,420807.56,Inactive,2021-05-19 06:26:46
47,2522451450,783,97,Business,USD,224423.57,Closed,2025-02-21 09:04:01
48,4164784001,7425,44,Saving,EUR,494501.14,Closed,2021-05-14 20:38:43
49,6299293408,4903,37,Business,EUR,286425.59,Active,2019-08-13 16:03:02
50,8363081382,8515,95,Saving,USD,163990.7,Closed,2021-04-03 07:01:37
51,8638811983,7444,13,Saving,EUR,212903.5,Inactive,2018-01-28 01:58:43
52,1351960400,1019,55,Saving,VND,107470.72,Active,2022-05-20 20:53:56
53,7555217903,9638,72,Business,VND,436020.19,Closed,2023-08-17 15:54:15
54,9475140777,2669,19,Business,USD,242433.72,Inactive,2024-06-29 15:48:49
55,6208260061,7756,5,Business,USD,472040.37,Inactive,2019-01-12 11:45:39
56,8955644375,1808,16,Checking,EUR,144866.33,Closed,2017-06-18 17:22:09
57,1658437876,6087,40,Checking,VND,147061.25,Active,2022-10-25 22:46:45
58,4398194022,2329,76,Checking,USD,468416.65,Inactive,2020-04-19 00:11:16
59,9113438941,3533,24,Business,VND,1142.67,Closed,2017-11-30 11:19:02
60,2497435811,733,54,Checking,EUR,154919.97,Inactive,2024-11-09 08:57:03
61,9161671755,6182,61,Business,EUR,66491.52,Active,2025-01-15 16:13:08
62,2928761313,5329,12,Business,EUR,311832.38,Inactive,2018-05-21 15:17:03
63,6993185041,8864,6,Business,VND,367982.81,Closed,2018-11-24 00:19:19
64,9696467331,5061,72,Business,USD,321992.7,Active,2019-01-08 07:52:51
65,4852002754,1971,85,Business,USD,481192.15,Inactive,2020-11-20 00:47:05
66,4379095790,4019,91,Business,VND,42415.51,Closed,2022-01-17 01:38:30
67,7901388916,6584,76,Saving,VND,431000.97,Active,2020-01-09 06:07:30
68,6755069588,2958,54,Saving,EUR,158759.48,Inactive,2019-05-18 00:31:39
69,1390949767,1628,70,Saving,VND,72102.72,Inactive,2021-01-03 07:31:41
70,4299843529,2527,40,Checking,EUR,84678.6,Closed,2023-11-11 18:19:44
71,9422960595,2974,4,Business,USD,149082.37,Active,2021-12-09 23:39:03
72,2374567624,6764,42,Checking,VND,470794.6,Active,2020-10-03 14:41:02
73,1222814829,3926,97,Business,EUR,118321.91,Closed,2024-05-23 16:23:39
74,5789238017,994,41,Checking,EUR,203597.52,Inactive,2021-06-06 23:38:50
75,5419119519,3830,3,Checking,EUR,481741.0,Closed,2024-04-18 02:48:17
76,1435979641,9089,84,Saving,VND,284165.99,Inactive,2017-12-07 18:29:29
77,5157148297,6117,70,Saving,USD,268814.06,Inactive,2024-01-19 22:27:13
78,7679328037,685,1,Checking,EUR,144695.8,Active,2021-08-18 10:58:20
79,1002331874,7901,35,Business,VND,419759.91,Inactive,2019-01-17 18:10:13
80,9586678451,3486,75,Business,VND,22837.82,Closed,2020-09-20 16:34:28
81,5595336790,1470,51,Business,USD,415266.0,Closed,2025-08-12 10:44:41
82,2855264537,8271,41,Business,VND,317621.42,Closed,2016-10-16 18:39:56
83,7239376653,4030,85,Checking,VND,105390.88,Closed,2021-04-23 02:33:12
84,2410713142,2191,83,Saving,EUR,238316.82,Active,2022-08-26 02:57:57
85,3889252025,6770,72,Business,EUR,244539.46,Inactive,2025-02-08 15:42:04
86,3311256997,1271,69,Saving,EUR,222643.87,Active,2024-02-19 06:11:53
87,8785836177,9852,46,Checking,USD,419588.98,Closed,2021-08-01 19:01:27
88,5225369518,2045,60,Checking,USD,222344.37,Active,2020-04-14 20:03:18
89,4191781111,4607,88,Business,VND,95836.69,Closed,2020-06-05 10:46:32
90,7980337876,3624,30,Checking,VND,18494.34,Inactive,2018-05-19 20:54:48
91,1898018927,3213,82,Checking,USD,434971.12,Closed,2023-08-11 14:23:23
92,7443849558,2794,71,Saving,EUR,369433.53,Closed,2019-07-05 09:25:26
93,3427258822,1071,76,Saving,EUR,32618.16,Inactive,2025-01-31 14:56:51
94,4674254156,8571,94,Checking,USD,423848.82,Active,2018-02-18 05:05:11
95,2949597857,6998,83,Business,EUR,26026.21,Inactive,2024-08-02 13:27:43
96,9568917078,4490,16,Business,EUR,233346.71,Inactive,2016-12-09 12:35:25
97,4097617527,770,36,Checking,EUR,224485.86,Active,2021-02-19 13:05:24
98,2683021116,5484,11,Business,USD,495133.3,Active,2021-12-22 19:50:34
99,2073673810,2695,43,Checking,USD,313034.74,Active,2020-07-15 06:58:14
100,5414679868,7078,4,Business,EUR,467536.89,Inactive,2024-05-27 04:13:38
101,2061516500,7760,31,Checking,USD,410834.73,Closed,2018-09-11 13:32:31
102,4410681286,1195,100,Business,EUR,219320.89,Active,2024-05-19 02:43:43
103,7980819764,9486,16,Saving,USD,458365.52,Inactive,2017-12-22 22:16:13
104,1547762075,7241,8,Checking,EUR,313129.99,Active,2021-03-20 13:38:03
105,9829550644,856,38,Checking,VND,48005.54,Inactive,2018-09-13 10:46:43
106,5340522065,6291,60,Checking,EUR,309653.35,Inactive,2019-05-16 13:37:09
107,5406516541,8475,43,Business,USD,54092.49,Active,2021-07-03 04:12:38
108,9880035879,3173,74,Saving,EUR,254498.11,Inactive,2023-11-24 08:01:57
109,7103178623,7285,24,Saving,USD,398533.09,Active,2020-06-29 22:53:53
110,5843351966,9577,56,Business,EUR,377211.38,Inactive,2016-07-30 05:31:04
111,1625453276,7693,40,Business,VND,145602.87,Active,2018-08-11 14:42:34
112,1621053924,3890,65,Business,USD,211088.36,Active,2020-09-19 12:17:35
113,5194081855,3298,9,Checking,USD,333963.28,Closed,2022-02-11 16:04:02
114,8268862104,9477,73,Checking,EUR,149885.83,Inactive,2016-10-27 03:57:55
115,1696987256,7444,6,Checking,USD,459984.8,Closed,2020-05-05 06:39:32
116,6283986629,3493,31,Checking,EUR,384197.37,Inactive,2017-07-07 06:00:53
117,2614528899,6559,24,Saving,VND,5045.06,Inactive,2025-12-11 05:03:55
118,9718859146,1888,19,Checking,VND,97282.28,Closed,2021-11-21 16:09:42
119,2545798406,487,26,Saving,VND,87155.89,Inactive,2022-08-05 00:57:26
120,4087380028,5568,71,Saving,USD,98074.18,Active,2025-11-17 22:33:12
121,8915115447,1658,3,Business,USD,189523.49,Active,2019-03-14 23:12:57
122,6197929962,7475,31,Checking,VND,330488.27,Closed,2024-12-23 09:26:46
123,9081684463,1072,16,Saving,USD,397469.57,Active,2017-08-11 00:47:25
124,7582272381,6132,41,Business,VND,488493.07,Active,2016-08-09 03:29:39
125,4955723270,9623,25,Business,VND,394814.94,Inactive,2019-06-21 23:00:09
126,2061594170,4589,17,Business,EUR,442928.56,Active,2022-01-22 09:53:15
127,4123723470,7712,85,Business,USD,83800.03,Inactive,2023-04-16 00:35:17
128,7481786488,8169,67,Checking,USD,160979.38,Inactive,2022-03-18 08:16:54
129,9399890415,7763,35,Business,VND,319088.99,Closed,2016-10-02 16:43:46
130,3790600319,3395,29,Saving,VND,431597.82,Inactive,2023-11-14 17:46:29
131,6233820216,6964,49,Business,USD,467755.9,Inactive,2018-02-18 08:20:44
132,1364036788,1377,38,Checking,EUR,175852.32,Closed,2021-08-29 05:55:44
133,5471674789,8393,80,Checking,VND,225630.49,Inactive,2019-01-03 04:48:07
134,7051406106,8152,41,Checking,VND,12456.63,Inactive,2018-03-25 14:19:10
135,6299089429,1244,46,Saving,VND,421317.43,Closed,2016-12-07 19:29:24
136,1978142717,1943,10,Checking,USD,273058.43,Inactive,2025-08-22 11:10:32
137,6709047877,4960,96,Business,VND,95402.15,Closed,2020-12-22 13:07:02
138,5286358927,8899,34,Saving,VND,140994.45,Inactive,2017-05-31 08:32:25
139,3814528616,7734,84,Business,USD,432746.51,Active,2016-09-17 00:14:57
140,4217519234,7774,30,Business,EUR,393008.73,Inactive,2023-10-25 23:14:16
141,7276670087,1407,41,Saving,VND,385088.52,Closed,2022-06-03 18:43:29
142,2793955743,7188,58,Business,USD,187412.61,Closed,2021-10-02 10:25:58
143,4752728579,5007,95,Saving,VND,405219.65,Inactive,2022-10-11 05:21:08
144,2459525419,6868,55,Business,VND,381444.51,Closed,2018-06-08 18:27:34
145,7603958937,5343,76,Saving,EUR,392700.37,Active,2019-07-17 12:40:12
146,9018466673,6248,27,Checking,USD,267291.84,Active,2016-09-07 16:01:35
147,3039154519,5388,73,Checking,EUR,447382.42,Active,2022-10-20 14:22:33
148,1736259025,9059,23,Saving,EUR,301721.62,Active,2024-10-30 01:41:13
149,1801836494,1139,50,Checking,USD,116596.41,Closed,2026-03-12 12:11:09
150,3252262370,7450,8,Checking,EUR,5622.44,Inactive,2023-10-29 03:30:46
151,7059602873,2573,15,Saving,EUR,209264.76,Closed,2024-06-21 22:27:12
152,5590302102,3383,17,Saving,VND,216157.12,Closed,2017-05-02 17:14:35
153,8150229969,2602,78,Business,VND,293787.23,Closed,2022-07-05 20:40:18
154,7266170179,3305,1,Saving,VND,32078.62,Inactive,2023-11-02 20:58:54
155,7403618535,7581,74,Saving,EUR,45642.23,Closed,2024-08-26 10:15:43
156,7254789317,4874,51,Business,USD,207584.87,Active,2024-12-02 07:40:00
157,8444226103,7502,50,Business,USD,349291.17,Active,2020-07-10 00:23:54
158,5061696296,3928,21,Checking,EUR,268915.0,Closed,2020-05-28 10:28:27
159,4935462811,3560,64,Checking,EUR,60703.19,Inactive,2017-01-21 14:58:40
160,6695183060,7389,22,Checking,USD,253081.68,Inactive,2023-05-28 21:59:00
161,1114752423,7568,49,Checking,EUR,199730.98,Active,2020-04-07 06:11:56
162,2703703278,176,33,Saving,EUR,458576.77,Inactive,2018-05-06 03:24:59
163,7288886727,7559,9,Saving,EUR,328545.6,Closed,2022-03-13 11:59:41
164,9375265373,2298,61,Checking,USD,85377.49,Active,2016-09-24 19:05:22
165,3606996024,2904,38,Saving,EUR,370749.1,Active,2017-04-23 15:47:38
166,9923160916,184,87,Checking,USD,220384.93,Active,2019-11-10 23:06:57
167,6223395333,783,82,Business,EUR,331303.72,Closed,2021-11-08 00:24:44
168,4852628125,6400,89,Checking,VND,26302.39,Active,2016-07-18 19:24:42
169,6367419685,3909,26,Saving,USD,210899.2,Active,2018-03-30 21:21:35
170,3873116056,3614,13,Business,USD,362033.35,Active,2019-12-24 06:29:57
171,6700029200,9209,81,Saving,EUR,103638.95,Closed,2025-03-18 08:34:18
172,2837731893,3808,28,Saving,VND,161751.58,Active,2025-04-04 01:07:55
173,2358241431,6377,28,Checking,USD,33101.54,Inactive,2026-01-26 21:49:46
174,2584756879,1104,28,Checking,VND,383795.81,Inactive,2020-10-18 08:45:40
175,6031378588,1553,77,Checking,EUR,348188.05,Closed,2020-01-19 20:14:52
176,5865903461,2873,82,Business,VND,489012.96,Closed,2025-09-10 15:38:11
177,3070734230,5491,3,Business,EUR,224510.89,Closed,2024-04-07 14:59:03
178,5245063515,3812,3,Business,USD,154493.43,Closed,2024-08-16 14:18:12
179,1340975920,2254,48,Checking,VND,101085.69,Inactive,2022-07-16 05:27:46
180,1162808124,9799,57,Business,VND,67220.08,Inactive,2019-10-30 14:43:48
181,4266296360,8534,54,Business,VND,375300.4,Active,2018-10-21 17:55:24
182,6717762282,3970,27,Business,USD,453325.37,Closed,2026-03-30 22:39:58
183,5245043800,3645,78,Checking,EUR,160886.33,Inactive,2023-01-26 09:22:26
184,3704895305,1059,63,Saving,USD,26148.22,Active,2018-03-23 03:10:05
185,5029858402,2058,12,Saving,EUR,274468.67,Active,2019-01-12 15:48:43
186,5630681326,7653,40,Saving,EUR,98848.38,Inactive,2022-09-01 18:09:54
187,6364282848,4676,74,Checking,EUR,100780.36,Inactive,2018-02-11 00:34:41
188,9472060093,6525,49,Saving,VND,220743.9,Closed,2018-07-04 06:37:54
189,3070177372,6250,55,Saving,VND,297632.16,Active,2025-04-18 23:25:22
190,6049590132,6234,60,Checking,VND,141684.55,Closed,2025-11-27 21:10:57
191,7897826389,1179,43,Saving,EUR,234682.31,Active,2019-09-08 21:33:58
192,4934756709,69,2,Business,EUR,362700.15,Inactive,2019-06-27 03:58:01
193,8482666187,6293,63,Checking,EUR,493762.28,Active,2021-02-11 22:04:27
194,4958255823,6305,73,Saving,USD,381499.13,Inactive,2019-07-10 17:01:47
195,8340650878,6033,90,Saving,EUR,192728.05,Inactive,2023-07-27 07:31:12
196,4159653716,3971,62,Saving,VND,315513.26,Closed,2023-02-03 17:48:26
197,9711293507,2423,34,Business,VND,472138.18,Active,2018-10-04 17:58:04
198,2092158809,9866,75,Business,USD,6267.46,Active,2021-11-01 12:27:39
199,9232949182,6516,91,Business,USD,259316.67,Active,2026-01-16 06:48:59
200,9057385123,2717,55,Checking,EUR,151179.56,Closed,2025-06-20 02:43:03
201,1381708520,9382,100,Checking,USD,134583.77,Active,2025-08-13 08:17:21
202,2323280914,2760,63,Saving,USD,35013.76,Closed,2024-05-05 01:27:53
203,2850914417,2891,48,Saving,EUR,67252.6,Inactive,2021-09-05 07:37:07
204,5073704803,7384,73,Saving,USD,100550.33,Closed,2026-03-22 14:54:06
205,4260587490,4250,53,Checking,EUR,456494.41,Active,2024-02-11 01:16:51
206,1713506306,4803,11,Checking,USD,138453.43,Inactive,2019-09-25 23:50:14
207,9717351872,3847,62,Checking,EUR,380290.74,Active,2022-08-28 06:19:52
208,5557202847,119,86,Business,USD,48511.24,Closed,2020-12-29 04:24:18
209,4400697308,6155,78,Business,VND,466070.98,Inactive,2018-10-09 11:41:48
210,8545878040,9903,55,Checking,VND,340961.81,Inactive,2019-12-11 00:52:35
211,9587551470,3926,47,Business,VND,189280.01,Active,2020-07-23 21:45:46
212,9483870638,5411,13,Saving,VND,435283.7,Inactive,2016-12-12 14:24:36
213,1596412178,9862,16,Business,VND,475535.86,Active,2018-06-11 19:55:28
214,6877361656,7786,66,Checking,EUR,94048.67,Closed,2020-03-04 15:59:30
215,8785139521,273,82,Checking,USD,484801.83,Closed,2018-09-28 00:54:00
216,2908280434,9942,63,Checking,EUR,306334.91,Active,2019-05-28 06:16:03
217,6791050254,7801,85,Business,USD,367165.44,Inactive,2023-02-06 15:43:45
218,3607791648,2346,67,Business,EUR,252367.84,Active,2018-03-01 08:52:09
219,5669015536,8991,60,Saving,VND,477530.11,Inactive,2024-11-30 00:18:07
220,2034664545,3468,22,Business,EUR,44806.96,Inactive,2018-12-27 04:26:57
221,1125506598,5350,50,Checking,USD,359615.57,Closed,2016-11-29 00:51:47
222,8410598437,1482,89,Checking,USD,465896.8,Closed,2017-06-19 18:46:10
223,9867677356,5624,49,Business,EUR,368027.64,Inactive,2023-10-29 04:24:57
224,2002305548,4245,15,Checking,USD,55780.12,Inactive,2022-06-16 22:33:00
225,5025289099,1903,74,Checking,USD,426679.82,Inactive,2019-12-07 10:13:17
226,5302176368,1014,76,Business,USD,423574.59,Inactive,2019-01-17 13:18:46
227,4421221951,8516,85,Business,EUR,111148.56,Inactive,2024-09-04 00:01:16
228,9629398996,7547,41,Saving,VND,418624.61,Inactive,2018-12-26 05:25:40
229,8215463132,2416,77,Checking,USD,373555.26,Closed,2025-04-22 10:43:49
230,9737440352,5246,40,Business,EUR,61819.66,Closed,2019-01-10 22:02:03
231,7760158051,3535,64,Checking,EUR,483251.2,Active,2019-01-13 15:31:41
232,2430844947,3451,94,Saving,EUR,367889.21,Active,2018-09-05 14:09:48
233,8974804213,6420,39,Business,USD,495532.5,Closed,2018-08-23 13:56:03
234,6979820993,6922,87,Checking,VND,378881.32,Inactive,2023-04-23 10:35:15
235,9898412960,4638,37,Business,USD,350584.22,Closed,2016-07-27 09:25:45
236,2691239817,2145,42,Business,USD,424919.88,Closed,2023-08-25 23:36:07
237,6600955228,2682,74,Saving,VND,348008.17,Inactive,2020-12-09 03:20:27
238,4853522356,3437,28,Business,USD,367685.92,Active,2022-12-05 05:53:49
239,4686932034,6170,55,Business,USD,463000.07,Active,2020-09-20 10:36:55
240,3035280879,860,16,Business,EUR,169309.06,Inactive,2021-04-23 23:35:38
241,5164945650,6620,32,Saving,USD,120503.63,Inactive,2023-06-24 20:15:39
242,8495577948,1469,100,Checking,EUR,191112.25,Closed,2021-05-18 12:16:54
243,8100420507,6019,2,Saving,USD,41410.23,Inactive,2024-08-10 19:37:17
244,1966088651,9615,74,Business,VND,136935.03,Closed,2018-09-08 14:50:54
245,3546395964,6291,62,Business,EUR,216884.87,Closed,2019-03-02 00:24:38
246,1537886416,5329,9,Business,EUR,92526.44,Closed,2024-09-25 07:24:34
247,5379777377,9111,69,Business,VND,32059.44,Closed,2019-07-03 21:49:37
248,3799033030,3400,85,Saving,USD,431015.52,Closed,2020-01-18 23:25:07
249,1772825941,9089,58,Checking,USD,19667.67,Closed,2019-05-08 10:29:20
250,1692392816,9216,33,Saving,USD,489966.22,Closed,2023-05-04 00:22:23
251,6577349701,8920,22,Checking,EUR,142.77,Inactive,2025-02-27 17:24:14
252,7588919626,2292,74,Checking,EUR,156536.73,Inactive,2022-09-16 16:24:43
253,3192968846,1623,85,Saving,USD,18463.3,Active,2022-03-29 13:10:32
254,4576109211,2199,78,Business,USD,295932.39,Inactive,2019-02-07 05:26:05
255,7967780181,1219,71,Checking,VND,190952.98,Active,2026-04-10 12:04:58
256,7013209218,1365,33,Business,VND,470105.64,Active,2017-06-07 23:19:50
257,3301691543,1157,81,Business,VND,497680.1,Closed,2024-01-13 08:52:24
258,3772707308,6098,73,Business,EUR,410272.05,Closed,2020-04-18 22:40:44
259,5999526932,2515,41,Checking,VND,13052.34,Closed,2021-02-24 12:02:10
260,2062994474,4426,16,Business,USD,342021.23,Inactive,2020-10-26 07:51:46
261,5578260598,1458,47,Checking,VND,73250.18,Active,2017-10-08 15:15:03
262,2175304017,1605,49,Saving,VND,475896.25,Active,2025-04-08 04:39:40
263,3102895903,8667,45,Business,EUR,432712.63,Closed,2018-07-12 02:13:46
264,1206000737,5211,97,Checking,USD,172651.93,Closed,2017-06-05 19:56:06
265,7024341290,9705,17,Checking,USD,343360.51,Closed,2017-04-16 17:50:52
266,1542747974,6207,73,Business,VND,26527.03,Closed,2023-09-12 10:21:53
267,4339458019,9973,54,Business,VND,91633.95,Inactive,2020-09-02 14:59:55
268,8724365118,8229,37,Checking,VND,260345.27,Closed,2020-11-04 03:00:13
269,4496203239,5001,82,Saving,VND,203316.74,Inactive,2019-11-25 15:25:04
270,4630302254,1303,10,Business,USD,472438.99,Active,2023-03-29 06:57:03
271,3470966406,1386,96,Checking,EUR,464801.54,Active,2026-02-28 04:35:25
272,4138750794,7859,64,Business,EUR,498977.42,Closed,2023-10-17 23:25:01
273,3997380182,6644,2,Business,USD,455452.11,Closed,2018-03-25 01:15:57
274,9621245992,6963,90,Business,EUR,172595.81,Closed,2020-09-05 21:45:30
275,9771852156,7351,22,Business,EUR,451908.93,Active,2024-09-18 01:46:50
276,5617615454,2185,66,Checking,USD,211418.86,Inactive,2019-12-05 05:17:02
277,6027190358,1856,44,Business,USD,415880.03,Active,2024-09-28 02:02:32
278,6540785880,7916,38,Checking,USD,1216.93,Closed,2017-04-06 12:18:49
279,7738124846,3563,40,Business,EUR,412881.12,Active,2018-12-25 21:52:30
280,9312541476,8000,8,Checking,USD,307803.57,Inactive,2021-01-23 07:10:54
281,6576373571,1756,1,Checking,EUR,93160.24,Inactive,2024-08-23 01:39:41
282,1038069463,7059,63,Saving,USD,264595.37,Active,2021-10-22 19:46:04
283,2764024904,7986,1,Saving,EUR,125142.36,Inactive,2017-12-18 05:40:18
284,6993020535,4904,47,Checking,USD,268260.05,Inactive,2019-06-17 04:56:12
285,8899980156,2652,18,Checking,EUR,217036.68,Inactive,2023-07-14 02:04:14
286,4046074294,1814,25,Checking,USD,66926.8,Inactive,2021-05-05 14:12:03
287,8490096480,518,21,Business,USD,474193.08,Closed,2021-05-10 13:33:35
288,9516613938,1947,54,Checking,EUR,247834.24,Closed,2020-08-02 06:05:45
289,4067985169,5323,97,Checking,EUR,363024.68,Closed,2017-07-27 03:42:10
290,2670091632,1798,14,Saving,USD,77855.44,Closed,2021-06-11 03:35:40
291,3939637388,853,87,Checking,VND,488221.62,Closed,2025-11-01 07:29:45
292,5329451114,7868,38,Checking,VND,41399.19,Inactive,2017-07-08 09:39:53
293,3195758393,4088,36,Saving,VND,497129.1,Active,2019-07-29 19:29:37
294,2843223554,7765,91,Saving,EUR,365255.31,Closed,2024-04-05 05:26:45
295,1778197615,9687,81,Business,USD,114769.16,Active,2023-04-07 01:11:51
296,2723498065,4487,25,Saving,VND,8928.91,Active,2022-12-01 09:16:36
297,5513818912,6674,68,Checking,EUR,316691.66,Active,2018-05-09 10:26:46
298,6247484687,6981,62,Saving,EUR,213593.71,Active,2022-05-24 15:30:21
299,2306915575,4412,47,Checking,VND,355821.64,Active,2019-09-26 00:32:41
300,1204253178,670,1,Saving,EUR,372402.88,Active,2021-03-22 11:58:54
301,6520394348,4591,78,Saving,VND,92501.52,Inactive,2020-03-06 05:04:05
302,6856536838,4987,15,Saving,EUR,6929.43,Closed,2017-10-08 11:58:44
303,5854636277,5908,95,Checking,EUR,389426.27,Closed,2024-12-04 17:06:45
304,7892193329,3904,84,Checking,USD,292205.18,Active,2020-05-26 10:42:17
305,4810468370,2138,81,Business,EUR,60265.14,Closed,2019-03-14 17:26:02
306,4510745572,3161,91,Checking,USD,37532.31,Closed,2025-02-09 00:12:39
307,7953596590,4940,93,Checking,USD,266825.42,Active,2019-10-28 00:37:52
308,1188167272,3141,54,Business,EUR,126337.5,Closed,2021-12-25 16:27:28
309,9483102271,5997,58,Business,EUR,58802.72,Inactive,2025-01-13 13:06:04
310,5585773087,6865,68,Business,USD,83550.87,Inactive,2016-06-28 11:04:38
311,5848735640,745,73,Saving,EUR,95176.44,Inactive,2017-07-09 00:05:22
312,1322060399,7173,97,Business,VND,281293.05,Inactive,2016-11-30 13:48:06
313,2166058670,3016,1,Saving,EUR,108982.08,Closed,2026-06-18 19:16:48
314,7497407953,8255,91,Business,EUR,129491.43,Active,2023-03-30 09:11:12
315,1511545211,3669,6,Business,USD,145992.46,Closed,2025-10-24 10:43:30
316,9090011031,2179,35,Saving,EUR,490013.83,Active,2021-05-25 08:44:41
317,3296067730,23,84,Checking,EUR,302619.25,Inactive,2021-07-17 20:13:39
318,2393982645,9000,34,Business,USD,204230.61,Closed,2020-07-19 21:49:51
319,6561533151,939,81,Saving,VND,109717.87,Inactive,2025-02-10 13:29:05
320,6054039371,257,69,Business,EUR,53310.72,Closed,2023-08-26 04:21:04
321,8250400388,4217,81,Business,EUR,275483.81,Inactive,2016-09-18 09:10:13
322,6242604762,4404,27,Business,EUR,403885.71,Inactive,2025-05-11 22:23:01
323,5963442336,3797,94,Business,VND,184383.14,Inactive,2020-04-23 12:36:23
324,5697367349,2974,59,Saving,USD,94511.07,Inactive,2019-09-04 09:30:34
325,2211370833,5082,21,Saving,VND,343714.68,Active,2018-06-07 06:37:30
326,1298303177,1181,55,Saving,VND,454574.61,Inactive,2022-12-30 08:08:45
327,3262496662,194,78,Saving,VND,192056.88,Active,2020-09-09 01:58:31
328,4550057836,717,17,Saving,USD,133901.47,Closed,2017-09-13 20:41:17
329,3575422095,154,14,Business,EUR,409145.85,Closed,2024-11-02 08:16:49
330,1364922725,2282,62,Business,VND,407750.91,Inactive,2022-09-07 10:44:43
331,6719849840,2532,32,Saving,EUR,346051.39,Closed,2025-10-04 11:34:09
332,3334799664,348,6,Saving,EUR,148439.57,Closed,2025-07-28 06:47:09
333,2783634101,20,29,Saving,USD,213625.0,Active,2017-02-21 17:33:21
334,2231995081,6304,88,Business,USD,245961.11,Active,2020-09-18 00:08:57
335,1964316616,4618,46,Saving,EUR,166929.02,Inactive,2017-01-14 21:29:33
336,4950827048,711,78,Saving,USD,214371.34,Inactive,2016-10-10 11:13:30
337,3575311720,6968,20,Business,EUR,150851.73,Inactive,2021-04-15 20:14:29
338,5741311316,8180,85,Checking,VND,405378.64,Closed,2020-12-06 11:22:20
339,4430319690,36,20,Business,USD,160195.98,Inactive,2022-04-26 03:00:48
340,9488312421,1103,15,Business,VND,479796.7,Inactive,2023-09-29 05:11:12
