customer_id,full_name,dob,phone,email,kyc_status,created_at
98,Angel Wilson,1983-05-23,001-568-765-7613,ballardsheila@example.com,Pending,2025-04-21 22:29:26
99,Joel Cox,1964-12-27,742-580-9981x65414,amandasmith@example.net,Pending,2022-05-12 11:27:00
100,Shannon Simmons,2003-11-07,+1-583-512-4886x96517,michelle22@example.com,Pending,2022-09-20 08:14:57
101,Andrea Stephenson,1962-08-25,274.921.0091,daisymoore@example.org,Rejected,2024-12-17 06:20:41
102,Lisa Freeman,1981-03-16,(412)936-7009x718,angel48@example.com,Rejected,2022-04-11 03:48:24
103,John Stanton,2001-02-06,(269)387-8423x965,tina14@example.com,Rejected,2023-12-05 15:35:29
104,Courtney Jackson,1998-04-30,001-501-833-5812x11178,amanda35@example.net,Verified,2022-01-25 11:38:38
105,Ann Trujillo,1994-03-15,554.266.2903x5009,karenschneider@example.org,Rejected,2021-06-12 17:44:06
106,Ashley Miller,1981-10-06,(647)253-5259x641,jason93@example.com,Pending,2021-10-01 09:04:45
107,Dustin Bush,2005-06-27,001-874-853-9316,torresapril@example.org,Verified,2024-06-06 11:27:08
108,Jenna Lopez,1968-11-12,233.277.7160x0999,david71@example.com,Verified,2024-04-01 14:08:56
109,Michael Jackson,2003-04-21,(232)611-3101x526,jason45@example.net,Verified,2024-02-06 06:32:57
110,Susan Jackson,1969-07-25,9618638293,colonjessica@example.net,Pending,2023-01-22 22:45:45
111,Christopher Peters,1973-12-06,651.494.0970,leenguyen@example.org,Pending,2025-01-27 23:27:17
112,Daniel Gomez,1983-01-07,888-613-7229x9335,amandaboyd@example.org,Pending,2022-12-19 09:34:23
113,Amanda Bass,1996-05-05,(817)230-1437x4364,rojasaaron@example.org,Verified,2025-11-07 09:59:47
114,Susan Medina,1989-03-11,275.812.0340,mooreadam@example.org,Verified,2023-04-22 01:12:45
115,Daniel Lyons,1973-04-29,548-313-0210,kurt85@example.com,Rejected,2026-03-14 04:41:28
116,Jamie Newman,1984-09-06,905-760-2568x8024,lisahughes@example.com,Rejected,2026-04-16 21:39:50
117,Emma Torres,2002-02-24,001-434-940-7960x6815,fharrison@example.org,Pending,2021-05-04 05:04:22
118,Ryan Herring,1958-03-18,540.820.0419x265,teresarusso@example.net,Verified,2022-05-29 12:18:19
119,William Johnson,1997-02-11,001-921-345-9429x85328,robertcox@example.net,Rejected,2022-04-30 02:17:50
120,Melissa Lopez,1975-01-02,(773)580-7667x863,davisdavid@example.com,Pending,2020-11-28 10:49:48
121,Matthew Hunt,2006-07-02,265.831.9991,millercharles@example.net,Pending,2024-12-23 18:28:18
122,Barbara Chavez,1972-05-30,943.528.3777,kathleen17@example.org,Rejected,2022-08-18 20:17:43
123,Gregory Buck,2002-11-06,385.259.7264x58787,antonio90@example.com,Pending,2024-10-04 01:21:17
124,Anthony Christian,1990-07-26,650-820-5612x0048,virginiaperry@example.com,Verified,2026-04-29 03:07:50
125,Ronald Duran,2008-06-15,001-281-858-4722x5965,johnperez@example.net,Pending,2021-09-18 20:42:57
126,Dr. Lauren Huff PhD,1967-04-18,001-819-230-0339,darren21@example.com,Verified,2023-06-27 08:15:51
127,Michael Schmidt,1973-01-03,329.427.3262,ysanchez@example.com,Verified,2022-01-09 08:30:13
128,Brandon Stewart,1989-06-16,(299)696-0468x57522,fbauer@example.net,Rejected,2022-11-03 23:16:24
129,Jerry Kelly,1989-08-28,+1-553-364-7759x96449,williamsrichard@example.net,Rejected,2024-10-09 14:15:20
130,Clinton Harrison,1998-12-17,518-647-5888x6480,jade66@example.org,Rejected,2024-06-20 14:33:10
131,Scott Morales,1956-01-31,849.384.3941x12579,mariefitzgerald@example.com,Pending,2026-05-30 10:13:44
132,Dean Baxter,1997-04-14,466.307.7366,ghuff@example.org,Rejected,2020-06-05 14:33:31
133,Kendra Bolton,1966-09-22,497-277-8822,catherine78@example.com,Rejected,2021-09-04 13:36:42
134,Matthew Black,1984-08-02,+1-406-843-9147x631,jennagonzalez@example.net,Pending,2023-05-02 16:41:00
135,Darlene Adams,1974-08-16,(563)381-4612,james30@example.com,Rejected,2026-01-29 15:51:13
136,Gregory Lutz,1963-11-29,606.707.9222,edwin40@example.net,Pending,2025-01-04 10:44:24
137,Arthur Hardin,1980-05-06,+1-309-432-8841x4868,ryan71@example.net,Pending,2024-05-23 15:18:57
138,Raymond Turner,1965-07-31,+1-467-846-7171,brittanylewis@example.org,Verified,2022-09-26 11:58:32
139,Christine Ortega,1985-05-28,(690)286-0314x11449,wendygallagher@example.org,Verified,2021-05-28 13:32:16
140,Richard Rodriguez,1995-07-09,920-823-1239x422,jacqueline13@example.net,Rejected,2021-11-18 17:31:06
141,Mark Wolfe,1972-05-05,001-449-599-6710x2063,johnnycohen@example.net,Pending,2021-12-24 08:18:39
142,Jessica Barber,1989-06-28,(542)880-4567x81648,caldwellrobin@example.org,Verified,2022-12-02 14:16:32
143,Sabrina Johnson,1995-09-26,+1-744-649-8793x63516,krystalhoffman@example.com,Verified,2022-08-15 11:27:37
144,Cassandra Williams,1998-08-22,+1-308-679-1481x57212,kathy40@example.org,Verified,2025-10-08 16:34:58
145,Mrs. Brittany Valdez,1965-07-05,(597)238-2472x4068,alexanderchristine@example.com,Verified,2026-02-12 19:18:27
146,Kendra Smith,1959-10-23,669.248.9364,stonejennifer@example.net,Rejected,2020-02-12 08:15:36
147,Robyn West,1974-12-12,(635)344-8330,kristennelson@example.org,Verified,2024-02-13 12:23:10
148,Walter Camacho,1988-12-28,001-852-877-2489,armstrongloretta@example.com,Rejected,2021-12-19 18:50:58
149,Monica Smith,1982-08-21,+1-271-846-5487x853,hobbscody@example.org,Pending,2022-12-18 05:27:30
150,Cory Young,1968-01-28,801-327-5747x6294,bestjohn@example.org,Rejected,2025-08-21 23:21:50
151,Todd Francis,1974-10-16,001-721-799-2994x671,freed@example.net,Verified,2022-12-24 09:27:00
152,Victoria Torres,2000-04-23,(451)793-0498,ambermartin@example.net,Pending,2021-02-01 02:42:57
153,Amber Phillips,1962-06-21,001-947-459-9436x2953,michaelaadkins@example.org,Pending,2020-02-25 21:15:29
154,Debra Young,1997-09-29,302.263.0882x81396,savannah87@example.org,Rejected,2025-07-31 12:18:35
155,Michael Williams,1987-04-16,(646)938-6430x807,howard81@example.net,Pending,2022-12-25 02:14:41
156,Johnathan Obrien,2005-06-13,+1-495-900-7278,zhudson@example.org,Rejected,2024-07-01 01:44:50
157,Lisa Torres,1985-03-23,+1-814-605-1906x822,nathanfrench@example.net,Pending,2025-10-15 13:21:22
158,Jo Lutz,1985-04-18,+1-914-336-2574x9195,denise37@example.net,Rejected,2024-01-29 19:43:30
159,Jennifer Tyler,1973-04-11,976.343.0546x439,jamesdaniels@example.net,Verified,2022-10-08 11:37:16
160,Amanda Walker,1992-01-31,+1-620-564-4401,cooperderek@example.net,Rejected,2020-02-05 23:14:29
161,Barry Beard,2005-03-17,262.624.5133x66837,barbaracopeland@example.net,Rejected,2025-08-26 02:09:48
162,Shawn Rodriguez,1979-09-08,478.538.0319x478,hdavis@example.net,Verified,2021-07-22 15:45:43
163,Justin Wright PhD,1992-10-16,(854)787-4466x332,afitzgerald@example.com,Rejected,2022-04-03 10:45:50
164,Jodi Decker,1965-07-26,447.787.8112x2983,barryperez@example.com,Rejected,2022-06-02 22:41:15
165,Brandi Fuentes,1981-07-12,+1-903-278-4861x3337,jamesmurphy@example.com,Pending,2020-05-28 10:51:18
166,Erin Jones,1966-04-18,990-954-8465x54752,jmckinney@example.org,Rejected,2025-05-05 14:59:26
167,Christy Thomas,1977-11-20,957.888.8467x00818,emmafisher@example.net,Pending,2021-04-23 06:43:52
168,Kimberly Williams,1968-01-02,001-847-340-1753,sarah24@example.com,Verified,2025-02-15 06:49:36
169,Meredith Lloyd,1982-08-25,+1-768-316-7968x1374,ihorton@example.org,Pending,2022-01-17 01:24:07
170,Ryan Lester,1977-02-09,(534)938-8007x979,katherineguzman@example.com,Pending,2020-09-18 08:02:03
171,Christina Miranda,1973-03-07,001-694-967-1209,edward94@example.net,Verified,2025-12-24 22:26:52
172,Jacob Johnson,1982-11-07,001-799-583-8821x387,lroberts@example.org,Pending,2024-07-02 13:08:25
173,Regina Ryan,2004-02-20,(284)815-9458x064,kellychad@example.net,Verified,2022-04-07 12:48:03
174,Michael Newman,1986-06-20,221-567-4216x14638,hlamb@example.com,Rejected,2020-01-24 23:16:01
175,Nathaniel Brown,1962-07-26,(973)241-1112x20305,tammiebarnes@example.net,Rejected,2021-12-15 21:00:24
176,Stephanie Martin,1969-02-15,001-255-523-0819x569,scottdarren@example.net,Pending,2020-07-03 06:24:15
177,Tammy Hill,1962-09-17,+1-292-488-4131x9708,navarroamber@example.net,Rejected,2023-11-19 08:59:14
178,Eric Chambers,1991-02-19,2913923838,cody57@example.org,Verified,2023-07-04 08:06:34
179,Angela Wells,1993-05-29,001-449-730-1265,leerandy@example.org,Rejected,2021-07-31 10:39:32
180,Robert Schmidt,1994-07-09,001-710-908-9039x629,hickmangary@example.net,Verified,2022-01-18 22:41:56
181,Robert Woods,1966-12-05,(750)833-5627,bowersaaron@example.org,Rejected,2021-10-10 08:15:41
182,Anthony Wilson,2006-12-16,872-281-5275x311,rbowen@example.com,Pending,2025-12-09 14:29:03
183,Karen Mooney,2000-10-12,+1-765-970-7005x948,tatecharles@example.org,Rejected,2022-06-16 00:03:04
184,Wendy James,1962-01-07,(625)584-8468x22900,zmason@example.org,Rejected,2022-04-23 17:06:26
185,Reginald Lawson,1976-07-02,613.329.4906x2406,samuel44@example.net,Rejected,2020-02-18 03:10:32
186,Wendy Padilla,2007-08-16,(699)504-4226x176,robertcervantes@example.com,Verified,2024-06-10 13:24:48
187,Teresa Williams,1992-01-12,(940)324-6957x7282,hawkinscarlos@example.org,Verified,2020-09-29 17:22:38
188,Danny Silva,2008-03-24,(451)360-7873x01697,gregory12@example.org,Pending,2022-10-11 03:26:00
189,Catherine Gray,2007-01-11,(777)347-4865x0845,yjones@example.org,Verified,2024-02-02 02:57:02
190,David Meadows,1998-08-15,946.856.1310x70946,gmurphy@example.com,Rejected,2022-08-05 19:20:20
191,Felicia Bennett,1956-08-20,481-279-3862,bryan15@example.org,Rejected,2020-03-13 09:59:31
192,Gary Brooks,1999-04-29,(497)307-2578x015,sallen@example.org,Verified,2021-08-26 05:21:23
193,Kellie Robinson,1993-09-02,492-478-0164,schultzsue@example.com,Rejected,2022-09-18 14:27:42
194,Bryce Avila,2002-11-08,213.813.8950,crystal71@example.org,Pending,2022-04-20 12:04:01
195,Julie Guerra,1971-05-18,+1-258-204-6237x0929,kbenitez@example.com,Pending,2021-09-05 08:17:24
196,James Bailey,1978-03-18,634.400.1754x7347,michael48@example.com,Verified,2023-07-20 08:22:08
197,Nicolas Keith,2002-05-21,001-253-625-1841,daltonwhite@example.com,Verified,2025-08-15 16:27:08
198,Steve Burke,1998-10-30,001-968-319-1337x7243,usimpson@example.net,Pending,2023-03-01 10:31:49
199,Tracy Pittman,1965-02-01,718.406.7066,matthew92@example.com,Pending,2024-04-05 17:22:40
200,Kent Perez,1967-07-04,857.355.5074x5130,christophercochran@example.com,Verified,2026-01-17 17:35:44
201,Danielle Stone,1986-06-11,(408)245-5188,dwilson@example.net,Verified,2020-10-25 17:40:22
202,Alexandria Frazier,2002-05-06,(780)583-7620x15967,ericagrant@example.com,Verified,2023-11-20 22:26:15
203,Jeremy Rodriguez,1992-09-22,(920)922-8301x9101,igeorge@example.org,Rejected,2025-07-23 13:33:12
204,Tracey Cruz,1982-08-31,(667)721-2494,david68@example.net,Verified,2022-06-20 23:56:53
205,Joshua Ray,1968-11-11,918.219.0809x533,villegasrichard@example.net,Verified,2022-05-12 10:46:09
206,Patrick Scott,2007-09-12,001-743-900-6738x650,keithlucas@example.net,Rejected,2021-11-11 17:49:20
207,Robert Stuart,1963-11-03,607.847.6121x917,collinsmichelle@example.org,Pending,2023-05-17 17:18:45
208,George Richard,1984-12-26,807.981.9540,leslie01@example.net,Verified,2021-10-19 11:53:56
209,Alice Franklin,1966-10-28,(229)771-9940,anitareyes@example.com,Rejected,2023-01-23 11:36:28
210,Brian Thompson,1977-04-06,229-768-7296x6662,hoopercody@example.net,Verified,2022-07-18 01:47:13
211,Donald Jones,1990-06-14,333-715-6971,howardian@example.net,Verified,2026-06-07 03:28:32
212,John Walton,1972-09-13,827-588-3854x299,jbaker@example.org,Rejected,2025-03-17 19:52:20
213,Brian Lawson,1968-08-27,885.419.8382x531,vsmith@example.net,Pending,2025-01-02 01:59:30
214,Brian Savage,2008-06-16,(913)382-3957x923,ksantana@example.com,Rejected,2025-06-16 13:11:28
215,Lisa Hughes,1970-03-06,258.468.7000x1738,scott37@example.net,Verified,2026-03-06 14:29:09
216,Katie Green,1973-10-12,001-538-381-2904,michaelboyer@example.org,Pending,2022-05-29 09:57:56
217,Felicia Crane,1961-08-16,001-569-537-2212x382,baxtermelanie@example.net,Rejected,2024-12-23 02:07:02
218,Claire Shaffer,1976-05-01,001-560-771-3112x9424,brownemily@example.com,Rejected,2020-11-09 01:29:14
219,Kelly Cisneros,2000-12-06,(645)976-5169x931,vdixon@example.org,Pending,2023-01-04 09:41:39
220,Lauren Savage,2000-10-05,675.837.0744x140,farmercharles@example.com,Verified,2025-09-13 12:38:57
221,Jacqueline Phillips,1987-03-21,310.624.5669x0445,kleinmichael@example.org,Rejected,2020-01-07 03:13:54
222,Angel Campbell,1971-01-02,(703)281-3061x29296,ryanjason@example.com,Rejected,2021-07-16 15:41:13
223,Timothy Weiss,1993-10-23,(330)653-5436x81651,cartercharles@example.com,Rejected,2023-12-13 18:59:41
224,Jill Moreno,1961-12-27,+1-202-871-9083,jasmine65@example.com,Verified,2023-08-04 23:44:29
225,Kimberly Johnson,1975-05-22,+1-561-407-2311x1826,dylanolson@example.net,Rejected,2025-08-20 22:32:53
226,Mr. John Johnson,1974-05-05,(498)484-4915x612,jose09@example.com,Pending,2024-08-27 00:41:50
227,Catherine Simmons,1980-09-15,402.681.6441x177,jason99@example.net,Pending,2022-10-22 16:42:26
228,Gary Zhang,1981-04-18,730.541.3049,markharris@example.com,Rejected,2021-04-27 17:02:19
229,Stephen Morrow,1978-02-10,402-225-4860x10645,theresa94@example.com,Rejected,2025-12-26 14:32:33
230,Mr. Christian Lopez DDS,1983-04-12,(960)866-3274x322,kenneth23@example.org,Pending,2020-01-23 07:16:50
231,John Benson,1959-02-04,252-679-2377x016,debrawright@example.com,Pending,2024-11-14 10:38:39
232,Robert Hall,1995-11-10,804-515-9203x71018,ijones@example.org,Rejected,2023-08-30 06:04:24
233,Shirley Jackson,2004-05-16,+1-559-316-2271x328,melissa32@example.org,Pending,2024-08-29 16:27:24
234,Linda Smith,1964-02-14,(396)225-5725x98783,ipalmer@example.org,Verified,2021-04-14 11:22:03
235,Christopher Shelton,1975-01-20,001-979-744-3459,garciawesley@example.org,Verified,2022-02-23 09:59:03
236,Hannah Morrow,1960-03-29,247.389.5823,caleb33@example.net,Verified,2022-04-24 11:43:37
237,Luis Wall,1970-12-13,(383)397-4453,washingtonrobert@example.com,Verified,2021-10-26 07:40:17
238,Gregory Merritt,1989-06-06,245.571.3413,kevinoliver@example.org,Pending,2025-12-02 05:35:00
239,Madeline Garza,1986-09-26,307.694.5223x70712,robinrojas@example.com,Verified,2020-09-01 13:18:28
240,Jamie Hodge,1986-07-20,528.414.1189x304,psnow@example.com,Rejected,2025-02-04 04:48:35
241,Christopher Baker,1963-02-14,822-212-1697x2902,bushamanda@example.org,Rejected,2024-07-29 23:47:13
242,Edward Dougherty,2002-07-12,+1-408-245-9584x13301,larrymeza@example.com,Verified,2024-04-08 15:13:37
243,Shelby Howard,1963-04-06,(253)456-8597x7409,matthew43@example.org,Rejected,2024-03-03 00:28:55
244,Oscar Mathews,1995-03-25,001-501-848-5319x1643,xhess@example.com,Verified,2024-08-06 13:34:19
245,Shelby Cain,1978-04-01,001-206-764-8935x5511,mitchellbryan@example.com,Verified,2020-08-22 02:09:11
246,Teresa Martin,1971-04-27,523-683-5358,natalie56@example.com,Verified,2025-05-13 03:06:01
247,Gabrielle Rodgers,2000-09-30,001-875-693-5322,craig77@example.net,Rejected,2023-08-19 20:35:04
248,Adam Mcgee,1977-12-21,979.979.4576,rebeccasuarez@example.net,Rejected,2021-03-30 04:05:30
249,James Bush,1960-09-25,491.431.7345,cookamy@example.com,Verified,2020-10-01 11:18:00
250,Tracey Clark,1987-08-28,934.676.3271x7018,ramirezmonique@example.net,Verified,2023-11-09 14:54:25
251,Teresa Gates,2006-02-25,459.269.8402x678,williamswilliam@example.org,Verified,2023-03-19 16:28:05
252,Mrs. Angel Hall,1964-03-20,+1-718-401-5032x0462,caseyhenderson@example.com,Verified,2023-06-11 01:45:43
253,William Green,1989-07-21,(378)673-9777x79061,courtney68@example.net,Pending,2020-04-11 20:27:22
254,Jeffrey Holland,1958-07-24,+1-656-861-6275x42245,twood@example.net,Verified,2025-01-15 13:04:42
255,Lisa Munoz,1982-12-21,6506621281,donna84@example.org,Rejected,2023-10-18 09:08:42
256,Charlene Rios,1988-05-28,843.202.4338x517,logan50@example.org,Verified,2020-04-14 23:03:42
257,Stephanie Crane,1975-10-09,(359)510-2772,christina71@example.com,Pending,2026-01-14 19:26:41
