card_id,account_id,card_number,card_type,credit_limit,expiry_date,status
34,9287,342354147077125,Debit,,2030-04-18,Expired
35,4301,3502039021164590,Credit,20000.0,2027-12-05,Expired
36,7937,30315751233111,Debit,5000.0,2028-01-29,Active
37,5311,4463527444647436,Credit,,2028-03-06,Active
38,10596,4642190338641454,Credit,10000.0,2026-07-13,Blocked
39,7938,213193580508089,Credit,10000.0,2029-08-18,Blocked
40,13821,630498147457,Credit,,2029-10-21,Blocked
41,10096,346252524527371,Debit,,2029-06-29,Active
42,1306,3565290997006562,Debit,20000.0,2028-03-10,Expired
43,13929,4427834772684,Debit,20000.0,2029-12-07,Expired
44,1250,4593598699250518,Credit,5000.0,2026-11-12,Blocked
45,1481,372113220500624,Debit,,2031-01-26,Blocked
46,8539,4974788204479,Debit,10000.0,2028-04-27,Active
47,9990,5492997264048126,Debit,20000.0,2028-01-12,Blocked
48,7589,30051162270638,Credit,20000.0,2031-04-12,Expired
49,2722,4850937346648658,Debit,10000.0,2028-04-02,Active
50,14219,213152373346040,Credit,,2027-01-14,Expired
51,13486,2266904496204171,Debit,20000.0,2030-06-19,Blocked
52,3226,36923429369961,Credit,20000.0,2031-01-30,Active
53,5211,4143033801078586,Debit,,2029-03-26,Blocked
54,5866,6543968008549270,Credit,5000.0,2028-08-07,Active
55,6443,345597936702033,Debit,5000.0,2030-07-31,Blocked
56,3893,503856981439,Credit,20000.0,2028-09-01,Expired
57,13048,4981501331783409,Credit,5000.0,2026-08-02,Active
58,10656,4286715533476513749,Debit,10000.0,2029-02-11,Blocked
59,13902,4041376655398938,Debit,,2026-11-05,Expired
60,2227,2274704028413468,Credit,5000.0,2030-09-21,Active
61,10552,213110912730355,Debit,10000.0,2027-11-01,Blocked
62,12823,4357829186794056,Credit,10000.0,2031-04-05,Active
63,11599,4680194866250220311,Credit,10000.0,2028-04-23,Blocked
64,14212,3520652825702189,Debit,10000.0,2028-09-22,Active
65,12925,4122908086786,Credit,,2027-09-12,Expired
66,774,3565929345610480,Credit,,2026-10-13,Blocked
67,7597,30073718646046,Credit,,2029-01-19,Active
68,14318,2293314152318470,Debit,20000.0,2027-05-05,Blocked
69,4891,4576500934792545,Credit,,2028-09-05,Blocked
70,3144,4319610667040,Debit,20000.0,2027-08-21,Expired
71,3677,180078494431313,Debit,5000.0,2031-03-01,Active
72,2403,4937173226588882,Debit,20000.0,2027-07-21,Active
73,10956,4430606222192233172,Debit,10000.0,2031-02-25,Blocked
74,13136,4735940103258654,Credit,10000.0,2026-09-16,Expired
75,7937,180034192483601,Credit,5000.0,2030-01-16,Active
76,11767,6597132136492755,Debit,5000.0,2028-01-14,Active
77,2422,3552063073678579,Credit,20000.0,2027-09-16,Active
78,13729,3544762515928317,Debit,10000.0,2028-02-14,Active
79,13012,344309366433522,Debit,20000.0,2028-05-11,Expired
80,5364,3522507605073060,Credit,,2026-08-29,Expired
81,3487,3525638696045837,Debit,,2027-03-11,Expired
82,4056,4503145099017847,Credit,5000.0,2031-06-07,Expired
83,6513,3590267455318092,Debit,10000.0,2028-10-27,Expired
84,13679,4194545014583266,Credit,10000.0,2028-10-09,Blocked
85,10605,4193869175027222859,Credit,,2029-12-18,Expired
86,2897,4304727103051093,Debit,5000.0,2028-12-08,Active
87,3325,30285820339290,Debit,5000.0,2028-06-25,Expired
88,1722,4175935157516517,Credit,20000.0,2028-12-11,Active
89,6569,4323904676097996,Credit,5000.0,2029-05-04,Active
90,13678,2713615088169379,Debit,,2031-04-14,Expired
91,4975,180015559741954,Credit,,2030-02-20,Active
92,7242,378972910200926,Credit,,2030-09-06,Active
93,6864,3562412314533291,Debit,20000.0,2031-01-20,Expired
94,3198,4895517001839217554,Credit,20000.0,2028-08-10,Blocked
95,12459,4640785250000670,Credit,20000.0,2028-05-22,Active
96,2024,36836268450181,Credit,5000.0,2026-10-13,Blocked
97,10612,4343999168271,Debit,20000.0,2028-03-03,Blocked
98,3630,4010951284343,Debit,,2027-06-09,Active
99,5985,501865446899,Debit,10000.0,2028-03-17,Blocked
100,3377,4591552852549119,Credit,5000.0,2028-12-05,Active
101,6225,676252440307,Debit,,2029-08-20,Blocked
102,13760,374646470391523,Credit,10000.0,2027-12-20,Active
103,12519,6011074356612084,Debit,10000.0,2027-05-22,Blocked
104,1925,6011115479744930,Credit,10000.0,2029-08-07,Expired
105,11868,6011292276711774,Debit,10000.0,2026-12-24,Blocked
106,5667,3506331550644084,Debit,,2030-01-11,Expired
107,679,4033553565604,Credit,5000.0,2030-12-20,Blocked
108,4682,347298163888219,Debit,,2030-03-05,Blocked
109,87,3568968015193051,Debit,20000.0,2030-11-05,Blocked
110,1651,3516546418667625,Debit,,2027-12-11,Active
111,8901,4317359226880961,Credit,10000.0,2028-03-12,Expired
112,11868,342811954010077,Credit,20000.0,2027-04-06,Expired
113,6855,5444625649220974,Debit,5000.0,2028-10-18,Blocked
114,5187,30563825471304,Debit,5000.0,2028-08-24,Blocked
115,1272,6011519573711762,Credit,5000.0,2029-08-15,Active
116,13340,344142819869152,Credit,,2028-05-20,Blocked
117,2944,4310105000460752,Debit,20000.0,2029-06-17,Active
118,4608,30325000712773,Debit,,2029-12-16,Active
119,1150,4612307254314942,Debit,5000.0,2027-06-27,Expired
120,14010,4942156899345,Credit,10000.0,2031-04-20,Active
121,4353,6011882068135578,Credit,5000.0,2027-12-14,Blocked
122,3774,4438277012843,Credit,10000.0,2028-07-07,Blocked
123,12066,213134848565073,Credit,,2027-11-02,Expired
124,5732,341341206906766,Debit,10000.0,2026-07-11,Expired
125,14376,3560364582328007,Debit,20000.0,2030-02-02,Blocked
126,4931,3555504815724087,Debit,10000.0,2027-08-28,Blocked
127,13173,213120936672806,Credit,20000.0,2027-06-24,Blocked
128,2680,3577730928784247,Credit,,2028-06-06,Blocked
129,12955,30189138649145,Credit,20000.0,2028-06-13,Blocked
130,186,060407599947,Debit,,2026-08-12,Active
131,719,4250504171212083635,Credit,20000.0,2028-04-21,Active
132,3855,343920098517027,Debit,10000.0,2029-08-25,Active
133,5281,675903961869,Credit,20000.0,2030-10-20,Active
134,14671,370448207200448,Debit,20000.0,2030-07-24,Active
135,174,5264239031913993,Credit,,2028-05-05,Expired
136,11977,213146491718270,Credit,10000.0,2026-10-11,Active
137,2213,5432003800030091,Debit,10000.0,2026-09-30,Active
138,10279,4542917759048991194,Debit,5000.0,2030-11-08,Expired
139,14625,213117127303225,Credit,20000.0,2026-08-19,Active
140,13542,180081761367913,Debit,10000.0,2030-01-26,Active
141,1570,2226845168401927,Debit,10000.0,2026-09-17,Active
142,232,502033636437,Credit,10000.0,2027-01-29,Blocked
143,5050,3581758731514687,Debit,20000.0,2028-12-03,Expired
144,1681,4922700280914751468,Credit,5000.0,2028-01-21,Blocked
145,9536,6571644071929039,Debit,10000.0,2031-01-15,Active
146,10663,3549567596632612,Debit,10000.0,2027-04-25,Expired
147,12978,6566631247906832,Credit,10000.0,2029-02-26,Blocked
148,12397,2223437790743158,Debit,,2028-07-18,Active
149,13351,6573570520675709,Debit,5000.0,2026-09-16,Active
150,6866,3528113060739958,Credit,20000.0,2030-11-09,Active
151,12133,4494780273212037,Debit,,2030-05-13,Blocked
152,2138,38780736287106,Debit,5000.0,2030-04-22,Expired
153,7055,4361164392633,Debit,,2030-10-27,Active
154,13341,4171244654969790588,Debit,,2029-11-22,Active
155,11008,30474342065290,Debit,10000.0,2029-07-10,Active
156,11561,3515769159189481,Debit,10000.0,2027-03-28,Expired
157,1309,503887244716,Credit,20000.0,2026-08-21,Active
158,11077,4044647465954335,Debit,,2028-06-16,Active
159,2415,2478258642791068,Credit,5000.0,2026-12-14,Blocked
160,4965,4793771374620929,Debit,,2029-07-11,Blocked
161,10252,501832114695,Credit,5000.0,2031-04-02,Blocked
162,12692,374423389541147,Debit,10000.0,2029-09-29,Blocked
163,449,639022588458,Debit,,2027-05-08,Expired
164,7803,4259167253657123,Credit,20000.0,2028-03-21,Blocked
165,2230,5329596448653139,Credit,,2029-03-08,Blocked
166,3136,584875999255,Debit,5000.0,2029-12-31,Active
167,8455,5237459288634548,Credit,10000.0,2030-09-27,Expired
168,5621,3579579827763424,Credit,5000.0,2027-03-31,Expired
169,7226,3579259368630957,Credit,10000.0,2030-03-27,Blocked
170,4975,30320077520035,Debit,,2031-05-11,Expired
171,8296,342570939123559,Debit,5000.0,2029-01-08,Blocked
172,1148,373527333913763,Debit,5000.0,2027-12-29,Active
173,13829,4616702077175786704,Credit,5000.0,2031-06-25,Blocked
174,13706,378947250717598,Debit,10000.0,2031-04-18,Expired
175,3389,30517274931739,Credit,5000.0,2026-10-14,Expired
176,14161,344881554536175,Credit,10000.0,2029-05-12,Expired
177,931,4260639854977396,Debit,5000.0,2030-08-18,Active
178,6811,4617404627222103,Credit,20000.0,2027-01-14,Blocked
179,12860,379705937691381,Debit,20000.0,2026-09-19,Active
180,6229,582652317774,Debit,,2028-08-06,Blocked
181,8549,180044710989583,Debit,,2028-11-05,Blocked
182,3690,213109708861432,Debit,20000.0,2029-08-28,Blocked
183,7448,30528172390928,Debit,10000.0,2030-10-21,Expired
184,5879,2229314279932665,Debit,5000.0,2026-09-26,Active
185,2884,6511951764568997,Debit,5000.0,2031-03-23,Blocked
186,6552,213159205582304,Credit,,2029-06-11,Blocked
187,10182,2222978718336147,Debit,,2029-12-05,Blocked
188,10643,4841459620863848,Credit,20000.0,2029-10-13,Blocked
189,3122,4709872567737184841,Debit,20000.0,2026-07-26,Expired
190,6342,36302021178890,Debit,5000.0,2030-11-12,Expired
191,12350,4941080696365507,Debit,20000.0,2030-04-22,Blocked
192,7852,4137290485701,Debit,,2027-03-25,Expired
193,13825,4475029056356002534,Credit,10000.0,2029-03-06,Blocked
194,11846,2503058072130525,Debit,10000.0,2028-07-12,Active
195,12698,4753223286633846,Credit,10000.0,2027-10-03,Blocked
196,2140,3578222333343313,Debit,5000.0,2031-04-01,Blocked
197,8571,3516437324772057,Credit,10000.0,2029-02-08,Active
198,8204,6011072868454904,Debit,,2027-04-04,Expired
199,589,341284915862690,Debit,20000.0,2028-11-25,Blocked
200,5906,36694567434178,Debit,5000.0,2029-05-11,Blocked
201,11425,3512122191982575,Credit,10000.0,2030-06-18,Expired
202,5134,584375351015,Debit,5000.0,2029-12-19,Expired
203,10088,676363646057,Debit,20000.0,2030-12-19,Expired
204,6177,5368091493655348,Credit,,2029-12-02,Expired
205,6208,3585853044807450,Credit,10000.0,2028-02-17,Blocked
206,11539,180010693074214,Debit,,2028-08-30,Active
207,1759,4836503248930294194,Debit,20000.0,2026-10-31,Expired
208,7241,4186850891596427,Debit,5000.0,2027-09-18,Active
209,9085,5516142726377589,Credit,,2027-03-10,Active
210,6466,4000021099596338,Credit,5000.0,2029-02-12,Expired
211,12286,2263051062836102,Credit,5000.0,2030-06-20,Expired
212,7537,4405843004803033,Credit,10000.0,2031-04-21,Blocked
213,10758,4959164865142829234,Debit,,2027-12-19,Active
214,12306,4113206206621912916,Debit,5000.0,2030-12-18,Active
215,7747,4567339602763897,Debit,20000.0,2030-02-02,Blocked
216,9819,4671860711534435,Debit,10000.0,2030-08-27,Active
217,3029,3550795774226917,Credit,20000.0,2031-04-19,Expired
218,4669,6595043680053665,Debit,,2026-09-28,Blocked
219,13952,4270479886314,Debit,10000.0,2030-07-31,Active
220,11588,639017490660,Credit,,2026-07-26,Expired
221,14760,4115110590279418635,Debit,5000.0,2030-07-02,Expired
222,9134,4456223786914,Credit,5000.0,2027-02-24,Expired
223,1366,4241529681088380,Credit,,2027-11-12,Expired
224,6728,36959025042263,Credit,,2029-10-18,Blocked
225,1959,213175481288028,Debit,,2030-03-05,Active
226,4828,4226082211537997612,Debit,5000.0,2029-04-21,Blocked
227,5238,4559943511270,Credit,5000.0,2029-10-12,Blocked
228,7240,6011085612307582,Credit,10000.0,2028-03-06,Expired
229,6462,342083445625240,Credit,5000.0,2030-06-17,Blocked
230,2224,4075306548071391,Debit,10000.0,2029-03-01,Blocked
231,4655,4065053898896157,Debit,,2030-06-30,Expired
232,2510,3513100593796669,Debit,,2031-01-20,Blocked
233,4885,36048728606283,Debit,5000.0,2029-04-04,Expired
234,1151,503846934423,Credit,5000.0,2028-05-29,Blocked
235,6603,6011997080042063,Debit,20000.0,2029-05-21,Blocked
236,11652,676241263331,Debit,10000.0,2028-11-01,Active
237,1498,180068507775145,Debit,5000.0,2029-02-19,Expired
238,752,4487399139847818,Credit,20000.0,2030-12-25,Expired
239,6216,3547406068294035,Credit,,2030-05-24,Blocked
240,9554,2236253803646741,Debit,,2031-03-21,Blocked
241,8147,3554828671592515,Debit,20000.0,2030-11-17,Expired
242,9823,2720416580185695,Credit,10000.0,2030-10-07,Expired
243,7229,3547955287195860,Credit,20000.0,2028-11-29,Blocked
244,7937,4656908059954,Credit,20000.0,2028-10-10,Active
245,2172,345693149659878,Credit,5000.0,2029-10-06,Expired
246,7532,6011946074128115,Debit,5000.0,2031-05-28,Blocked
247,10958,6538586031517002,Debit,,2028-07-11,Expired
248,11341,6530605456747197,Credit,10000.0,2029-11-15,Blocked
249,10406,36638934867198,Credit,10000.0,2028-11-23,Active
250,189,503839691493,Debit,5000.0,2030-03-10,Active
251,12560,2652180040496595,Credit,20000.0,2027-02-08,Active
252,1525,2257461435426077,Debit,5000.0,2027-07-05,Blocked
253,11007,4949605690846052,Credit,20000.0,2028-11-13,Expired
254,11117,30305422348042,Credit,10000.0,2030-10-31,Expired
255,5870,639018403472,Credit,10000.0,2030-05-29,Expired
256,7419,3557618443551262,Debit,5000.0,2026-08-29,Blocked
257,7447,3596661933745658,Credit,5000.0,2028-02-27,Active
258,14691,4412679668761831,Debit,,2030-12-17,Active
259,9556,3555049298880410,Debit,5000.0,2030-12-09,Active
260,14715,2412699324680468,Debit,,2027-03-04,Expired
261,12983,374532787436161,Credit,20000.0,2027-11-29,Blocked
262,4416,30101194005104,Credit,10000.0,2028-12-27,Active
263,2266,3558765654767498,Debit,,2027-03-29,Expired
264,9657,2703650395403932,Credit,,2026-09-26,Blocked
265,12643,4133269441603431,Debit,5000.0,2030-05-15,Active
266,7940,344769331622469,Credit,5000.0,2028-11-17,Active
267,11186,30073863349776,Debit,20000.0,2027-08-27,Blocked
268,11878,3528064402272473,Credit,20000.0,2028-06-17,Blocked
269,5207,3575240288651798,Debit,10000.0,2031-03-27,Active
270,577,3515080883534780,Debit,10000.0,2030-01-22,Expired
271,5699,573826848612,Credit,5000.0,2027-08-19,Active
272,3592,4798869424949531,Debit,10000.0,2030-09-11,Expired
273,6285,341110320788438,Credit,,2027-03-03,Blocked
274,1276,060444492023,Debit,20000.0,2028-01-09,Active
275,10874,2420713264195476,Credit,,2027-03-22,Active
276,13239,3577940462237821,Credit,5000.0,2030-07-11,Active
277,9371,349473655931599,Debit,10000.0,2028-02-23,Blocked
278,1278,4417736956699886,Credit,,2028-10-02,Expired
279,14756,30162624503654,Credit,20000.0,2027-06-23,Active
280,4197,180041875732246,Credit,5000.0,2030-06-17,Blocked
281,6495,4938355382323,Credit,5000.0,2030-04-10,Blocked
282,12582,30570199833506,Credit,5000.0,2031-03-14,Blocked
283,14237,373391559941671,Credit,5000.0,2028-02-01,Expired
284,4891,568195447905,Debit,,2029-06-16,Blocked
285,8445,6521500450403718,Debit,10000.0,2031-05-02,Active
286,10346,343230003881611,Credit,20000.0,2031-04-01,Blocked
287,3720,4403265180079166,Debit,5000.0,2028-01-07,Blocked
288,10122,3561791638570944,Credit,,2029-10-21,Blocked
289,6650,4047037055061180673,Credit,5000.0,2027-09-13,Blocked
290,210,4046478607597958,Credit,,2030-12-22,Active
291,12385,4441842283774,Credit,,2030-10-18,Expired
292,9799,501838188313,Debit,,2030-10-20,Blocked
293,8376,342234966894919,Credit,5000.0,2029-06-10,Blocked
294,12148,564012852112,Debit,20000.0,2026-10-11,Active
295,11177,30363637205895,Debit,10000.0,2026-12-31,Active
296,6316,30028747980766,Credit,5000.0,2027-09-21,Expired
297,1645,4110480428900099,Debit,10000.0,2028-08-04,Expired
298,13328,30417613836790,Credit,,2030-01-31,Expired
299,13821,4716351042387891991,Debit,,2027-06-16,Blocked
300,3175,4007176494998332,Debit,10000.0,2031-04-21,Active
301,7950,4306237115805534342,Debit,5000.0,2028-03-28,Blocked
302,14315,30346823938239,Debit,10000.0,2028-04-07,Blocked
303,3929,6570818728155617,Debit,,2027-08-07,Blocked
304,7616,379474964874440,Debit,10000.0,2029-11-23,Active
305,5430,4451523422689193097,Debit,10000.0,2027-12-20,Expired
306,12004,2439451230664304,Debit,10000.0,2029-04-18,Expired
307,10876,341108714173456,Debit,20000.0,2027-03-11,Expired
308,5264,4883469901672478,Debit,,2026-07-13,Blocked
309,917,343941234320381,Debit,10000.0,2029-08-19,Expired
310,9538,2418849886361494,Debit,20000.0,2027-07-15,Expired
311,9769,3567255596913573,Debit,10000.0,2030-11-16,Expired
312,4562,060453686036,Debit,10000.0,2030-01-15,Expired
313,10161,583105838713,Credit,10000.0,2028-05-19,Expired
314,9579,3566376315738231,Credit,,2029-04-27,Expired
315,9241,3589654532336184,Credit,20000.0,2029-04-07,Expired
316,11490,6501592489637543,Debit,10000.0,2030-10-14,Active
317,4423,180016322199157,Debit,10000.0,2029-04-26,Expired
318,6397,4144775815360,Credit,,2028-02-23,Active
319,6519,4726018306196269,Credit,10000.0,2030-11-06,Active
320,10452,3579140854690756,Debit,10000.0,2027-12-09,Blocked
321,3750,4641391138960,Debit,5000.0,2027-12-12,Blocked
322,8717,4730914935463837,Credit,5000.0,2027-07-30,Expired
323,8875,4436052833350539444,Debit,,2031-05-31,Active
324,4888,3512541718882903,Credit,5000.0,2027-07-22,Expired
325,13145,372763176974478,Debit,5000.0,2028-06-02,Active
326,749,4435937678468307397,Debit,,2027-11-11,Blocked
327,5678,4081590784401998,Credit,,2031-05-25,Blocked
328,14549,503809681292,Debit,5000.0,2030-10-23,Blocked
329,2903,6557489618269053,Debit,10000.0,2028-07-28,Blocked
330,4690,4426511256589700,Credit,5000.0,2029-09-27,Active
331,14741,4979917370499307,Credit,,2031-05-03,Blocked
332,14592,30288627354777,Debit,20000.0,2031-02-17,Blocked
333,12691,3542072271836452,Credit,20000.0,2029-06-01,Expired
334,4335,3548148824013122,Credit,20000.0,2028-10-30,Expired
335,10948,345591655631903,Credit,5000.0,2027-11-02,Active
336,9383,3538335868643532,Credit,5000.0,2026-08-22,Blocked
337,11735,6011868842199675,Credit,20000.0,2026-12-03,Expired
338,11873,675941565565,Credit,,2027-10-25,Blocked
339,14573,4530301902061267766,Debit,,2029-12-25,Blocked
340,8665,180013073898657,Credit,,2029-11-30,Blocked
341,12358,4540264370786718,Credit,5000.0,2027-02-24,Blocked
342,6696,3538506757785986,Credit,5000.0,2027-07-31,Expired
343,11642,6011268208582525,Debit,,2026-12-16,Expired
344,13399,4553768059846,Credit,20000.0,2027-01-23,Expired
345,14929,371582269421366,Debit,,2029-04-29,Expired
346,4041,6586648755427155,Debit,20000.0,2028-09-21,Expired
347,12958,3528719040997381,Debit,20000.0,2026-08-22,Blocked
348,9042,2717406684528887,Credit,20000.0,2030-01-28,Expired
349,2029,4535747232925337980,Debit,,2030-12-13,Active
350,12772,3575376260207066,Credit,,2027-04-24,Active
351,11918,503805690107,Credit,5000.0,2030-05-26,Active
352,580,3533675885102169,Credit,,2026-07-22,Expired
353,7149,676198035302,Credit,10000.0,2029-08-14,Blocked
354,12169,4379785339429,Credit,5000.0,2026-09-02,Active
355,12292,4008801352932144,Credit,10000.0,2029-06-03,Active
356,7744,4012345073649957299,Credit,,2030-11-23,Blocked
357,12579,374355574967515,Debit,,2029-12-20,Blocked
358,2194,377998813615424,Debit,20000.0,2029-04-01,Active
359,10080,180098607828411,Credit,,2029-07-29,Active
360,13269,3555135082718138,Debit,,2028-01-21,Expired
361,4020,4214604725152188,Debit,5000.0,2029-05-28,Active
362,5290,5284822202265263,Debit,10000.0,2026-11-23,Active
363,8544,3564546689907479,Debit,20000.0,2031-01-02,Blocked
364,11470,343211993791838,Credit,,2028-08-27,Blocked
365,3922,6597595623489932,Debit,20000.0,2027-10-06,Active
366,4828,2274284545764347,Credit,5000.0,2026-08-20,Active
367,14017,4108785936938,Debit,10000.0,2027-09-03,Expired
368,9198,6011059772847737,Credit,5000.0,2028-04-18,Blocked
369,12481,4414736814735081,Credit,5000.0,2031-04-19,Blocked
370,7300,6513507351792263,Credit,5000.0,2031-04-04,Expired
371,4693,4388091760376,Debit,20000.0,2030-07-12,Blocked
372,1117,676146280083,Credit,5000.0,2029-04-05,Blocked
373,1744,347228057286444,Debit,10000.0,2028-10-16,Blocked
374,14431,180060686799269,Debit,5000.0,2030-10-20,Blocked
375,3118,213164299781549,Credit,20000.0,2029-10-12,Blocked
376,959,375731196309493,Credit,20000.0,2027-05-16,Blocked
377,5552,676334542054,Credit,20000.0,2028-06-24,Active
378,10751,4118895549870792,Credit,,2031-05-31,Blocked
379,11789,4390111176781,Debit,20000.0,2028-07-06,Blocked
380,9815,342592933193230,Debit,10000.0,2029-06-07,Expired
381,2115,4010110088998260175,Debit,,2027-10-12,Blocked
382,14830,373849381810075,Credit,,2031-06-20,Blocked
383,9015,38704415857864,Credit,20000.0,2028-06-13,Expired
384,12390,585111488060,Debit,10000.0,2027-12-15,Expired
385,3019,4056618716875970,Credit,20000.0,2027-01-11,Active
386,13476,3522336823477584,Credit,5000.0,2030-06-07,Blocked
387,7694,4546269856512,Credit,20000.0,2028-03-14,Expired
388,13658,6568399352622234,Credit,,2027-11-15,Blocked
389,1746,6011177138833082,Debit,5000.0,2027-02-08,Active
390,13413,379921749367371,Debit,5000.0,2030-02-17,Expired
391,13665,213168265540433,Credit,5000.0,2031-05-16,Active
392,5169,4167677344474685,Debit,20000.0,2028-07-10,Active
393,6458,6011582385543914,Debit,10000.0,2029-03-10,Expired
394,4852,4888654950136583,Credit,,2028-03-18,Blocked
395,10690,3525329071495819,Credit,20000.0,2031-01-26,Expired
396,1994,180071843761290,Debit,20000.0,2030-11-09,Blocked
397,14905,30521651946062,Credit,20000.0,2027-05-03,Active
398,5336,180099830213470,Debit,5000.0,2027-08-29,Active
399,2343,3551371742352570,Debit,10000.0,2027-12-31,Expired
400,9367,213180373260200,Debit,20000.0,2029-03-01,Blocked
401,6080,4930962388379091894,Debit,10000.0,2028-10-18,Active
402,7377,180035126813938,Debit,,2029-12-07,Blocked
403,12804,30337786829945,Credit,5000.0,2026-10-31,Expired
404,3453,6582661572038760,Debit,,2031-03-08,Blocked
405,4058,5152598008741280,Debit,,2031-01-02,Blocked
406,7205,30088247648420,Credit,10000.0,2027-12-08,Expired
407,12065,4662501380631,Credit,5000.0,2028-12-17,Active
408,8260,6557844685142593,Credit,5000.0,2031-02-27,Blocked
409,12409,4370947920983149871,Credit,20000.0,2028-02-21,Blocked
410,2527,4563502662198940,Debit,10000.0,2027-04-18,Expired
411,12138,676204434507,Credit,10000.0,2031-01-22,Expired
412,7720,4917714786286450,Debit,10000.0,2027-11-08,Blocked
413,8723,676163220665,Credit,20000.0,2028-06-04,Expired
414,1853,676104306912,Debit,10000.0,2029-06-17,Active
415,12713,6011139611855479,Credit,5000.0,2029-11-11,Expired
416,14917,36015417303720,Credit,20000.0,2030-11-11,Active
417,11782,2265418612844381,Credit,20000.0,2028-05-15,Blocked
418,1807,4893133499243766621,Credit,20000.0,2029-12-08,Expired
419,10080,6555652050074925,Debit,20000.0,2026-11-17,Blocked
420,14442,4177891684933592,Debit,10000.0,2029-09-29,Blocked
421,4611,4855879988820437132,Debit,,2030-05-18,Expired
422,1488,38669480371747,Credit,20000.0,2030-07-11,Active
423,4640,4121974327170520,Credit,10000.0,2028-04-30,Blocked
424,14727,3598472965682589,Debit,10000.0,2029-04-25,Blocked
425,8647,4348567133817776,Credit,5000.0,2026-09-05,Active
426,567,3585257463709025,Credit,5000.0,2031-05-21,Expired
427,13255,6011987965674726,Debit,20000.0,2029-06-20,Active
428,3887,3589232535266896,Credit,20000.0,2030-09-23,Blocked
429,11397,4570415896072834,Credit,20000.0,2026-09-05,Expired
430,8409,502052609042,Credit,5000.0,2030-05-17,Expired
431,9951,375329491545885,Debit,20000.0,2030-07-06,Active
432,1561,377942724297617,Debit,5000.0,2027-12-26,Blocked
433,5225,6509301312841989,Debit,,2026-07-17,Active
434,6570,6551925012186050,Debit,20000.0,2028-01-20,Active
435,8161,4146592520818749671,Debit,5000.0,2026-07-01,Expired
436,6880,4086932362679188,Debit,,2026-12-17,Active
437,4417,4375919416399003128,Credit,20000.0,2031-01-24,Expired
438,8423,4825017142899686486,Debit,10000.0,2026-09-29,Active
439,2516,348756222520130,Credit,,2029-06-04,Blocked
440,4130,5375419916331471,Credit,5000.0,2027-07-27,Active
441,9474,4387178291422646693,Debit,20000.0,2031-01-12,Expired
442,5930,349452989171551,Debit,10000.0,2030-06-30,Blocked
443,4591,3526695571152392,Debit,,2029-11-30,Blocked
444,14066,4762034172511,Credit,5000.0,2030-04-07,Expired
445,11991,372296062508951,Debit,5000.0,2026-07-09,Active
446,11707,6526423879101026,Debit,20000.0,2027-06-09,Blocked
447,14853,4630649918364278,Debit,,2030-07-05,Active
448,13878,4762238737054839,Debit,5000.0,2027-05-22,Active
449,320,30426897504784,Debit,5000.0,2028-06-01,Active
450,3181,3512050820876761,Credit,5000.0,2029-06-28,Active
451,14938,4563887944770859,Credit,5000.0,2030-05-26,Blocked
452,5992,4531470920184756,Credit,20000.0,2028-01-29,Active
453,11298,3514986833642138,Credit,20000.0,2030-07-06,Expired
454,2465,3582184403176433,Debit,10000.0,2031-04-28,Expired
455,7980,4215843861727580,Debit,5000.0,2027-06-07,Expired
